"Velocities","Coverage0","Coverage1","Coverage2","Coverage3","Coverage4","Coverage5","Coverage6","Coverage7","Coverage8","Coverage9","Coverage10","Coverage11","Points:0","Points:1","Points:2"
0.41401,0.00095613,5.4247e-06,2.9173e-05,0.99606,0.003913,0.95613,0.99459,0.99701,0.99701,2.3748e-05,0.0029623,0,0.01,2.3938,9.01
0.40297,0.00093065,5.2792e-06,2.9025e-05,0.99608,0.0038874,0.93065,0.99452,0.99701,0.99701,2.3745e-05,0.002962,0,0.01,2.3938,9.2
0.40301,0.00093074,5.2802e-06,2.9029e-05,0.99608,0.0038878,0.93074,0.99452,0.99701,0.99701,2.3749e-05,0.0029624,0,0.01,2.3938,9.21
0.40925,0.00094515,5.362e-06,2.9109e-05,0.99607,0.003902,0.94515,0.99455,0.99701,0.99701,2.3747e-05,0.0029622,0,0.01,2.3938,9.4
0.40928,0.00094523,5.363e-06,2.9114e-05,0.99607,0.0039024,0.94523,0.99455,0.99701,0.99701,2.3751e-05,0.0029626,0,0.01,2.3938,9.41
0.41282,0.00095339,5.4406e-06,2.9375e-05,0.99604,0.0039294,0.95339,0.99451,0.99699,0.99699,2.3934e-05,0.0029814,0,0.01,2.3938,9.6
0.41286,0.0009535,5.442e-06,2.9381e-05,0.99604,0.00393,0.9535,0.99451,0.99699,0.99699,2.3939e-05,0.0029819,0,0.01,2.3938,9.61
0.41109,0.00094939,5.4472e-06,2.9557e-05,0.99603,0.0039434,0.94939,0.99446,0.99698,0.99698,2.411e-05,0.0029995,0,0.01,2.3938,9.8
0.41134,0.00094998,5.4502e-06,2.956e-05,0.99603,0.0039439,0.94998,0.99446,0.99698,0.99698,2.4109e-05,0.0029994,0,0.01,2.3938,9.81
0.41294,0.00095367,5.4691e-06,2.9564e-05,0.99602,0.0039461,0.95367,0.99441,0.99698,0.99698,2.4095e-05,0.0029979,0,0.01,2.3938,10
0.41285,0.00095346,5.4684e-06,2.9566e-05,0.99602,0.0039462,0.95346,0.99441,0.99698,0.99698,2.4098e-05,0.0029982,0,0.01,2.3938,10.01
0.41479,0.00095794,5.4916e-06,2.9574e-05,0.99602,0.0039491,0.95794,0.99443,0.99698,0.99698,2.4083e-05,0.0029967,0,0.01,2.3938,10.2
0.41448,0.00095722,5.4886e-06,2.9576e-05,0.99602,0.0039489,0.95722,0.99443,0.99698,0.99698,2.4087e-05,0.0029971,0,0.01,2.3938,10.21
0.41516,0.00095879,5.513e-06,2.9691e-05,0.99601,0.0039597,0.95879,0.99441,0.99697,0.99697,2.4178e-05,0.0030064,0,0.01,2.3939,10.4
0.4154,0.00095935,5.5165e-06,2.9698e-05,0.99601,0.0039606,0.95935,0.99441,0.99697,0.99697,2.4181e-05,0.0030067,0,0.01,2.3939,10.41
0.41002,0.00094692,5.4449e-06,2.9626e-05,0.99602,0.0039483,0.94692,0.99437,0.99697,0.99697,2.4181e-05,0.0030068,0,0.01,2.3939,10.6
0.41027,0.00094752,5.449e-06,2.9636e-05,0.99602,0.0039494,0.94752,0.99437,0.99697,0.99697,2.4187e-05,0.0030074,0,0.01,2.3939,10.61
0.41088,0.00094891,5.4852e-06,2.984e-05,0.996,0.003968,0.94891,0.99429,0.99695,0.99695,2.4355e-05,0.0030246,0,0.01,2.3939,10.8
0.41068,0.00094844,5.4833e-06,2.9842e-05,0.996,0.0039679,0.94844,0.99429,0.99695,0.99695,2.4359e-05,0.0030249,0,0.01,2.3939,10.81
0.41659,0.0009621,5.5797e-06,3.0039e-05,0.99598,0.0039918,0.9621,0.99427,0.99694,0.99694,2.446e-05,0.0030352,0,0.01,2.3939,11
0.41654,0.00096198,5.5791e-06,3.0039e-05,0.99598,0.0039917,0.96198,0.99427,0.99694,0.99694,2.446e-05,0.0030353,0,0.01,2.3939,11.01
0.41337,0.00095467,5.5342e-06,2.998e-05,0.99599,0.003983,0.95467,0.99429,0.99694,0.99694,2.4446e-05,0.0030339,0,0.01,2.3939,11.2
0.41334,0.0009546,5.5341e-06,2.9982e-05,0.99599,0.0039831,0.9546,0.99429,0.99694,0.99694,2.4448e-05,0.0030341,0,0.01,2.3939,11.21
0.40937,0.00094543,5.4976e-06,3.0047e-05,0.99599,0.0039843,0.94543,0.99425,0.99693,0.99693,2.4549e-05,0.0030444,0,0.01,2.3939,11.4
0.40902,0.00094462,5.4939e-06,3.0047e-05,0.99599,0.0039839,0.94462,0.99425,0.99693,0.99693,2.4553e-05,0.0030448,0,0.01,2.3939,11.41
0.40335,0.00093152,5.4281e-06,3.0047e-05,0.99599,0.0039776,0.93152,0.99426,0.99692,0.99692,2.4619e-05,0.0030515,0,0.01,2.3938,11.6
0.40368,0.00093229,5.4327e-06,3.0054e-05,0.99599,0.0039786,0.93229,0.99426,0.99692,0.99692,2.4621e-05,0.0030517,0,0.01,2.3938,11.61
0.41028,0.00094753,5.5347e-06,3.0233e-05,0.99597,0.0040016,0.94753,0.99418,0.99692,0.99692,2.4698e-05,0.0030596,0,0.01,2.3939,11.8
0.41021,0.00094737,5.5347e-06,3.0238e-05,0.99597,0.0040019,0.94737,0.99418,0.99692,0.99692,2.4703e-05,0.0030601,0,0.01,2.3939,11.81
0.41267,0.00095305,5.5968e-06,3.0472e-05,0.99594,0.0040251,0.95305,0.99416,0.9969,0.9969,2.4875e-05,0.0030777,0,0.01,2.3939,12
0.4129,0.00095357,5.6002e-06,3.0479e-05,0.99594,0.004026,0.95357,0.99415,0.9969,0.9969,2.4879e-05,0.003078,0,0.01,2.3939,12.01
0.40932,0.00094531,5.5596e-06,3.0487e-05,0.99595,0.0040227,0.94531,0.9941,0.99689,0.99689,2.4928e-05,0.003083,0,0.01,2.3939,12.2
0.40918,0.000945,5.558e-06,3.0486e-05,0.99595,0.0040225,0.945,0.9941,0.99689,0.99689,2.4928e-05,0.0030831,0,0.01,2.3939,12.21
0.40748,0.00094107,5.5202e-06,3.036e-05,0.99596,0.0040096,0.94107,0.9941,0.9969,0.9969,2.4839e-05,0.003074,0,0.01,2.3939,12.4
0.40736,0.00094078,5.5192e-06,3.0362e-05,0.99596,0.0040096,0.94078,0.9941,0.9969,0.9969,2.4843e-05,0.0030744,0,0.01,2.3939,12.41
0.40861,0.00094367,5.5544e-06,3.0507e-05,0.99595,0.0040237,0.94367,0.99407,0.99689,0.99689,2.4953e-05,0.0030856,0,0.01,2.3939,12.6
0.40862,0.00094371,5.5556e-06,3.0515e-05,0.99595,0.0040244,0.9437,0.99406,0.99689,0.99689,2.4959e-05,0.0030862,0,0.01,2.3939,12.61
0.4104,0.00094781,5.6089e-06,3.0743e-05,0.99592,0.0040462,0.94781,0.99406,0.99687,0.99687,2.5134e-05,0.003104,0,0.01,2.3939,12.8
0.41067,0.00094843,5.6127e-06,3.0749e-05,0.99592,0.004047,0.94843,0.99406,0.99687,0.99687,2.5136e-05,0.0031042,0,0.01,2.3939,12.81
0.41581,0.00096029,5.6952e-06,3.0903e-05,0.9959,0.0040661,0.96029,0.99404,0.99686,0.99686,2.5208e-05,0.0031115,0,0.01,2.3939,13
0.41561,0.00095984,5.6929e-06,3.0902e-05,0.9959,0.0040657,0.95984,0.99404,0.99686,0.99686,2.5209e-05,0.0031116,0,0.01,2.3939,13.01
0.40776,0.00094171,5.5832e-06,3.0782e-05,0.99592,0.0040467,0.94171,0.99399,0.99686,0.99686,2.5199e-05,0.0031105,0,0.01,2.3939,13.2
0.40765,0.00094146,5.5827e-06,3.0787e-05,0.99592,0.004047,0.94146,0.99399,0.99686,0.99686,2.5204e-05,0.0031111,0,0.01,2.3939,13.21
0.40866,0.00094378,5.6066e-06,3.0871e-05,0.99591,0.0040554,0.94378,0.99387,0.99686,0.99686,2.5265e-05,0.0031173,0,0.01,2.3939,13.4
