Number of active Voxels;Number of Leaves;Number of Nodes;TotalLeavesSurfaceArea;TotalActiveCellsSurfaceArea;BoundingBoxSurfaceArea;Average Num. of traversed leaves
1676;1942;1942;11096;6704;3332;3.33013
1674;1943;1943;11100;6696;3332;3.33133
1678;1944;1944;11100;6712;3332;3.33133
1677;1942;1942;11094;6708;3332;3.32953
1676;1942;1942;11094;6704;3332;3.32953
1677;1944;1944;11104;6708;3332;3.33253
1672;2313;2313;11290;6688;3332;3.38836
1670;2312;2312;11288;6680;3332;3.38776
1672;2315;2315;11294;6688;3332;3.38956
1676;1945;1945;11108;6704;3332;3.33373
1678;1942;1942;11096;6712;3332;3.33013
1676;1942;1942;11096;6704;3332;3.33013
1678;1944;1944;11100;6712;3332;3.33133
1677;1942;1942;11094;6708;3332;3.32953
1675;1941;1941;11092;6700;3332;3.32893
1676;1945;1945;11106;6704;3332;3.33313
1672;2313;2313;11290;6688;3332;3.38836
1670;2312;2312;11288;6680;3332;3.38776
1672;2315;2315;11294;6688;3332;3.38956
1674;1944;1944;11106;6696;3332;3.33313
1678;1942;1942;11096;6712;3332;3.33013
1676;1942;1942;11096;6704;3332;3.33013
1678;1944;1944;11100;6712;3332;3.33133
1677;1942;1942;11094;6708;3332;3.32953
1675;1941;1941;11092;6700;3332;3.32893
1676;1945;1945;11106;6704;3332;3.33313
1672;2313;2313;11290;6688;3332;3.38836
1671;2313;2313;11290;6684;3332;3.38836
